eventId,n_circulars,union_size,mean_coverage,median_coverage,min_coverage,max_coverage,frac_full,frac_zero
LIGO/Virgo G298048,196,10,0.15306122448979592,0.1,0.1,0.5,0.0,0.0
GRB 030329,177,6,0.2702448210922787,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0
LIGO/Virgo S190814bv,126,7,0.21541950113378686,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0
GRB 221009A,118,8,0.23834745762711865,0.25,0.125,0.5,0.0,0.0
LIGO/Virgo S190425z,118,7,0.22276029055690072,0.21428571428571427,0.14285714285714285,0.42857142857142855,0.0,0.0
SGR 1935+2154,107,7,0.253671562082777,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.0
GRB 130427A,88,7,0.24350649350649348,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0
LIGO/Virgo/KAGRA S240422ed,82,6,0.24593495934959347,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0
GRB 021004,72,5,0.31666666666666665,0.4,0.2,0.6,0.0,0.0
LIGO/Virgo G211117,70,5,0.2857142857142857,0.2,0.2,0.4,0.0,0.0
LIGO/Virgo S190426c,67,6,0.2462686567164179,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0
GRB 230812B,66,7,0.2792207792207792,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.0
GRB 990123,65,4,0.3346153846153846,0.25,0.25,0.75,0.0,0.0
LIGO/Virgo G268556,64,7,0.2075892857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0
GRB 260310A,61,6,0.32786885245901637,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0
LIGO/Virgo/KAGRA S250206dm,58,6,0.25862068965517243,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0
LIGO/Virgo G299232,57,6,0.283625730994152,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0
GRB 190114C,55,6,0.28484848484848485,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0
LIGO/Virgo S191213g,53,7,0.2695417789757412,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.0
GRB 060218,53,6,0.3238993710691823,0.3333333333333333,0.16666666666666666,0.5,0.0,0.0
LIGO/Virgo S190510g,52,7,0.21978021978021975,0.21428571428571427,0.14285714285714285,0.5714285714285714,0.0,0.0
GRB 080319B,51,7,0.19887955182072828,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0
